step,t,dt,Ts,Rd,mpp,m_dot,psat,sum_y_cond,sum_y_cond_raw,psat_over_P,eq_source,eq_exc_type,eq_exc_msg,psat_source,hvap_source,latent_source,L_v,q_g,q_l,q_diff,latent,energy_res,energy_sign,fallback_reason,finite_ok,Ts_eff,Tbub,guard_active,clamp_active,eps_bg,penalty_used,penalty_reason,n_penalty_residual,n_lambda_cap_ts,max_Ts_trial_minus_upper,ls_lambda,ls_clip_ts,ls_clip_mpp,ls_shrink_count,regime,regime_locked,sum_x_psat_over_P,Ts_upper,Ts_guard,Ts_hard
32,0.0006600000000000004,2e-05,452.02141770523565,9.987662892321184e-05,0.15415797129484618,1.9324292446602795e-08,21795.068842128818,0.2151006053997416,0.2151006053997416,0.2151006053997416,computed,,,p2db,p2db,p2db,280596.4454942584,0.09443445161573145,-0.1000502677773454,0.011038694327272586,0.005422880005003693,-1.8393450477993678e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,452.02141770523565,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.2151006053997416,484.82493318617344,484.82493318617344,489.32493318617344
33,0.0006800000000000005,2e-05,452.7300631200965,9.987149148438338e-05,0.1555740561529975,1.949979790005347e-08,22485.016987963085,0.2219098641792557,0.2219098641792557,0.2219098641792557,computed,,,p2db,p2db,p2db,280229.57351578085,0.09397044509053634,-0.09935690536032075,0.010851440304067055,0.005464982248565658,-2.214283015625207e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,452.7300631200965,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.2219098641792557,484.82493318617344,484.82493318617344,489.32493318617344
34,0.0007000000000000005,2e-05,453.42116715881457,9.986630427511359e-05,0.1569340561394499,1.9668218324038404e-08,23176.743216666386,0.2287366712723058,0.2287366712723058,0.2287366712723058,computed,,,p2db,p2db,p2db,279871.0264856058,0.09351762528211104,-0.09867634266338941,0.01066385108942221,0.005505136297411189,-2.5892673569463676e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,453.42116715881457,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.2287366712723058,484.82493318617344,484.82493318617344,489.32493318617344
35,0.0007200000000000006,2e-05,454.09557704030254,9.98610690667803e-05,0.15824101262004223,1.982993723688417e-08,23870.148040075725,0.23558004480706365,0.23558004480706365,0.23558004480706365,computed,,,p2db,p2db,p2db,279520.41644336475,0.09307553054520654,-0.09800839042591734,0.010476310417225975,0.005543453498984014,-2.962468846623434e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,454.09557704030254,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.23558004480706365,484.82493318617344,484.82493318617344,489.32493318617344
36,0.0007400000000000006,2e-05,454.7540845641665,9.985578753900013e-05,0.15949778523786795,1.9985315252778697e-08,24565.142715594782,0.2424391089621987,0.2424391089621987,0.2424391089621987,computed,,,p2db,p2db,p2db,279177.3799203556,0.09264372851336253,-0.09735284730263992,0.010289153634493458,0.005580038176106807,-3.330890740310677e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,454.7540845641665,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.2424391089621987,484.82493318617344,484.82493318617344,489.32493318617344
37,0.0007600000000000007,2e-05,455.3974306166783,9.985046128493819e-05,0.16070706113615593,2.013469124430816e-08,25261.648293297414,0.24931308456252074,0.24931308456252074,0.24931308456252074,computed,,,p2db,p2db,p2db,278841.57601257134,0.09222181306201062,-0.09670950162792755,0.010102672897408616,0.005614988024003554,-3.692511865716064e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,455.3974306166783,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.24931308456252074,484.82493318617344,484.82493318617344,489.32493318617344
38,0.0007800000000000007,2e-05,456.026309229108,9.984509181635419e-05,0.16187136424272197,2.0278383512665243e-08,25959.594733997674,0.2562012803750079,0.2562012803750079,0.2562012803750079,computed,,,p2db,p2db,p2db,278512.68464076915,0.09180940173754776,-0.09607813314747284,0.009917121866205742,0.005648394501916961,-4.04563629732152e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,456.026309229108,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.2562012803750079,484.82493318617344,484.82493318617344,489.32493318617344
39,0.0008000000000000008,2e-05,456.64137124421455,9.983968056838225e-05,0.16299306449832765,2.0416690950698306e-08,26658.920096635138,0.26310308508892316,0.26310308508892316,0.26310308508892316,computed,,,p2db,p2db,p2db,278190.4049742796,0.09140613358357008,-0.09545851469664723,0.009732719940578073,0.005680343215822151,-4.388321230702763e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,456.64137124421455,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.26310308508892316,484.82493318617344,484.82493318617344,489.32493318617344
40,0.0008200000000000008,2e-05,457.24322764313666,9.983422890405036e-05,0.16407438684973286,2.054989417628606e-08,27359.569798600794,0.2700179600157986,0.2700179600157986,0.2700179600157986,computed,,,p2db,p2db,p2db,277874.4539962484,0.09101166731691057,-0.09485041381253044,0.009549656043467934,0.005710914286522427,-4.738674361758066e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,457.24322764313666,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.2700179600157986,484.82493318617344,484.82493318617344,489.32493318617344
41,0.0008400000000000009,2e-05,457.83245254302636,9.982873811853643e-05,0.16511742012082348,2.0678256650187106e-08,28061.495911247715,0.27694543213666634,0.27694543213666634,0.27694543213666634,computed,,,p2db,p2db,p2db,277564.5652092934,0.09062567952837755,-0.09425359399523504,0.009368092111638759,0.0057401827079666375,-5.063185371835532e-09,q_g_in/q_l_in/q_diff_in > 0 => heat into interface; q_lat > 0 => latent heat leaving interface (evaporation),,,457.83245254302636,489.82493318617344,False,False,0.001,False,,0,0,nan,,0,0,0,evap,,0.27694543213666634,484.82493318617344,484.82493318617344,489.32493318617344
